service,metric,value,unit,source
Agent,Avg. planner latency (Qwen3.5:2b),9453 / 10596,ms,pod logs — agent-api-chart
Agent,Avg. tool-call round-trip,1151,ms,DB ToolCall.duration_ms
Agent,Memory retrieval p50 / p95,1305 / 1583,ms,pod logs — memory-api-chart
Agent,Distillation pipeline p50 / p95,14.1 / 58.2,s,pod logs — memory-distiller-chart
Chatbot,Avg. response latency (w/ thinking),10212 / 10212,ms,pod logs — chatbot-api-chart
Chatbot,Avg. tokens per response,1552,tokens,DB Message.(prompt+completion)_tokens
