service,metric,value,unit,source
Agent,Avg. planner latency (Qwen3.5:2b),9561 / 11096,ms,pod logs — agent-api-chart
Agent,Avg. tool-call round-trip,1139,ms,DB ToolCall.duration_ms
Agent,Memory retrieval p50 / p95,1309 / 1583,ms,pod logs — memory-api-chart
Agent,Distillation pipeline p50 / p95,14.1 / 30.0,s,pod logs — memory-distiller-chart
Chatbot,Avg. response latency (w/ thinking),8563 / 244960,ms,pod logs — chatbot-api-chart
Chatbot,Avg. tokens per response,1607,tokens,DB Message.(prompt+completion)_tokens
