service,metric,value,unit,source
Agent,Avg. planner latency (Qwen3.5:2b),10069 / 11066,ms,pod logs — agent-api-chart
Agent,Avg. tool-call round-trip,1828,ms,DB ToolCall.duration_ms
Agent,Memory retrieval p50 / p95,1309 / 12380,ms,pod logs — memory-api-chart
Agent,Distillation pipeline p50 / p95,13.5 / 50.5,s,pod logs — memory-distiller-chart
Chatbot,Avg. response latency (w/ thinking),7171 / 244960,ms,pod logs — chatbot-api-chart
Chatbot,Avg. tokens per response,1421,tokens,DB Message.(prompt+completion)_tokens
