service,metric,value,unit,source
Agent,Avg. planner latency (Qwen3.5:2b),10548 / 11638,ms,pod logs — agent-api-chart
Agent,Avg. tool-call round-trip,1917,ms,DB ToolCall.duration_ms
Agent,Memory retrieval p50 / p95,1306 / 12356,ms,pod logs — memory-api-chart
Agent,Distillation pipeline p50 / p95,14.7 / 43.8,s,pod logs — memory-distiller-chart
Chatbot,Avg. response latency (w/ thinking),8563 / 189731,ms,pod logs — chatbot-api-chart
Chatbot,Avg. tokens per response,1399,tokens,DB Message.(prompt+completion)_tokens
